Table A.11 from
Anton Yeshchenko, Jan Mendling: A survey of approaches for event sequence analysis and visualization
Information Systems 120 (2024) 102283
MB: Matrix-based, TB: Timeline-based, HB: Hierarchy-based, SB: Sankey-based, CB: Other chart-based
MB_Simple_Instance; MB_Simple_Model; MB_Extended_Instance; MB_Extended_Model; TB_Fixed_Instance; TB_Fixed_Model; TB_Duration_Instance; TB_Duration_Model; TB_ConDiverging_Instance; TB_ConDiverging_Model; TB_Evolution_Instance; TB_Evolution_Model; TB_Combinations_Instance; TB_Combinations_Model; HB_NodeLink_Instance; HB_NodeLink_Model; HB_Flow_Instance; HB_Flow_Model; HB_Treemap_Instance; HB_Treemap_Model; SB_NodeLink_Instance; SB_NodeLink_Model; SB_ExtNodeLink_Instance; SB_ExtNodeLink_Model; SB_Flow_Instance; SB_Flow_Model; SB_ConDiverging_Instance; SB_ConDiverging_Model; SB_Chord_Instance; SB_Chord_Model; CB_Sequence_Instance; CB_Sequence_Model; CB_SeqDuration_Instance; CB_SeqDuration_Model; CB_BarChart_Instance; CB_BarChart_Model; CB_OtherChart_Instance; CB_OtherChart_Model; CB_Composition_Instance; CB_Composition_Model
Cui et al. [75]           ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; –; –; –; –; –; –; –; –; –; –; –; –; –
Shi et al. [77]           ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; –; –; –; –; –; –; –; –; –; –; –; –; –
Qi et al. [78]            ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; –; –; –; –; –; –; –; –; –; –; –; –; –
Bartolomeo et al. [32]    ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; –; –; –; –; –; –; –; –; –; –; –; –
Wang et al. [87]          ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; –; –; –; –; –; +; –; –
Unger et al. [34]         ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; +; –; –; –; –; –; –; –
Cappers et al. [89]       ; –; –; –; –; +; –; –; –; +; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; –; –; –; –; –; –; –; –
Xie et al. [45]           ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; +; +
Isaacs et al. [88]        ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +; +; +
Bernard et al. [6]        ; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; –; +
